ID,PRJ_ID,ASGN_NAME,"ASGN_STATUS
","BILL_RATE
","SUBMITTED_HOURS
","FORECASTED_HOURS
",ACTUAL_REVENUE,FORECASTED_REVENUE
ASGN1 ,PRJ1,Assignment Name 1,ACTIVE ,100,"64.00
",110,"$6,400.00
","$11,000.00
"
ASGN10,PRJ5,Assignment Name 10,ACTIVE,$200.00 ,0,188,$0.00 ,"$37,600.00 "
ASGN11,PRJ5,Assignment Name 11,ACTIVE,$100.00 ,171,184,"$17,100.00 ","$18,400.00 "
ASGN12,PRJ5,Assignment Name 12,CANCELLED,$200.00 ,0,0,$0.00 ,$0.00 
ASGN13,PRJ7,Assignment Name 13,COMPLETED,$400.00 ,64,0,"$25,600.00 ",$0.00 
ASGN14,PRJ7,Assignment Name 14,ACTIVE,$200.00 ,23,149,"$4,600.00 ","$29,800.00 "
ASGN15,PRJ7,Assignment Name 15,COMPLETED,$100.00 ,91,0,"$9,100.00 ",$0.00 
ASGN16,PRJ7,Assignment Name 16,ACTIVE,$200.00 ,31,119,"$6,200.00 ","$23,800.00 "
ASGN17,PRJ8,Assignment Name 17,COMPLETED,$0.00 ,76,0,$0.00 ,$0.00 
ASGN18,PRJ8,Assignment Name 18,ACTIVE,$0.00 ,25,162,$0.00 ,$0.00 
ASGN19,PRJ8,Assignment Name 19,COMPLETED,$0.00 ,156,0,$0.00 ,$0.00 
ASGN2,PRJ1,Assignment Name 2,CANCELLED,200,"64.00
",0,"
$0.00",0
ASGN20,PRJ8,Assignment Name 20,DRAFT,$0.00 ,0,400,$0.00 ,$0.00 
ASGN21,PRJ10,Assignment Name 21,ACTIVE,$100.00 ,40,149,"$4,000.00 ","$14,900.00 "
ASGN22,PRJ10,Assignment Name 22,CANCELLED,$100.00 ,0,0,$0.00 ,$0.00 
ASGN23,PRJ10,Assignment Name 23,COMPLETED,$100.00 ,93,0,"$9,300.00 ",$0.00 
ASGN24,PRJ10,Assignment Name 24,ACTIVE,$100.00 ,0,117,$0.00 ,"$11,700.00 "
ASGN25,PRJ10,Assignment Name 25,CANCELLED,$100.00 ,0,0,$0.00 ,$0.00 
ASGN26,PRJ10,Assignment Name 26,COMPLETED,$100.00 ,222,0,"$22,200.00 ",$0.00 
ASGN27,PRJ10,Assignment Name 27,ACTIVE,$0.00 ,26,156,$0.00 ,$0.00 
ASGN28,PRJ10,Assignment Name 28,CANCELLED,$0.00 ,0,0,$0.00 ,$0.00 
ASGN29,PRJ10,Assignment Name 29,COMPLETED,$100.00 ,52,0,"$5,200.00 ",$0.00 
ASGN3,PRJ1,Assignment Name 3,COMPLETED,$400.00 ,55,0,"$22,000.00 ",$0.00 
ASGN30,PRJ10,Assignment Name 30,ACTIVE,$700.00 ,71,158,"$49,700.00 ","$110,600.00 "
ASGN31,PRJ10,Assignment Name 31,CANCELLED,$700.00 ,0,0,$0.00 ,$0.00 
ASGN32,PRJ10,Assignment Name 32,COMPLETED,$700.00 ,100,0,"$70,000.00 ",$0.00 
ASGN33,PRJ11,Assignment Name 33,COMPLETED,$250.00 ,174,0,"$43,500.00 ",$0.00 
ASGN34,PRJ11,Assignment Name 34,ACTIVE,$250.00 ,105,166,"$26,250.00 ","$41,500.00 "
ASGN35,PRJ12,Assignment Name 35,CANCELLED,$100.00 ,0,0,$0.00 ,$0.00 
ASGN36,PRJ12,Assignment Name 36,CANCELLED,$200.00 ,0,0,$0.00 ,$0.00 
ASGN37,PRJ12,Assignment Name 37,CANCELLED,$400.00 ,0,0,$0.00 ,$0.00 
ASGN38,PRJ12,Assignment Name 38,CANCELLED,$100.00 ,0,0,$0.00 ,$0.00 
ASGN39,PRJ12,Assignment Name 39,CANCELLED,$200.00 ,0,0,$0.00 ,$0.00 
ASGN4,PRJ2,Assignment Name 4,ACTIVE,$200.00 ,25,166,"$5,000.00 ","$33,200.00 "
ASGN40,PRJ14,Assignment Name 40,ACTIVE,$400.00 ,104,114,"$41,600.00 ","$45,600.00 "
ASGN41,PRJ14,Assignment Name 41,ACTIVE,$700.00 ,38,181,"$26,600.00 ","$126,700.00 "
ASGN42,PRJ14,Assignment Name 42,ACTIVE,$250.00 ,0,132,$0.00 ,"$33,000.00 "
ASGN43,PRJ14,Assignment Name 43,ACTIVE,$700.00 ,0,195,$0.00 ,"$136,500.00 "
