ID,ASGN_ID,NAME,TC_STATUS,WEEK_START,WEEK_END,SUBMITTED_HOURS
TC1,ASGN1,Timecard 1,SUBMITTED,9-Feb-25,15-Feb-25,30
TC2,ASGN1,Timecard 2,SUBMITTED,16-Feb-25,22-Feb-25,34
TC3,ASGN1,Timecard 3,DRAFT,23-Feb-25,1-Mar-25,38
TC4,ASGN3,Timecard 4,SUBMITTED,9-Feb-25,15-Feb-25,30
TC5,ASGN3,Timecard 5,SUBMITTED,16-Feb-25,22-Feb-25,25
TC6,ASGN4,Timecard 6,SUBMITTED,26-Jan-25,1-Feb-25,25
TC7,ASGN5,Timecard 7,SUBMITTED,26-Jan-25,1-Feb-25,30
TC8,ASGN6,Timecard 8,CANCELLED,26-Jan-25,1-Feb-25,24
TC9,ASGN7,Timecard 9,SUBMITTED,9-Feb-25,15-Feb-25,22
TC10,ASGN7,Timecard 10,SUBMITTED,16-Feb-25,22-Feb-25,14
TC11,ASGN7,Timecard 11,SUBMITTED,23-Feb-25,1-Mar-25,12
TC12,ASGN8,Timecard 12,SUBMITTED,2-Feb-25,8-Feb-25,24
TC13,ASGN8,Timecard 13,SUBMITTED,9-Feb-25,15-Feb-25,14
TC14,ASGN8,Timecard 14,SUBMITTED,16-Feb-25,22-Feb-25,17
TC15,ASGN8,Timecard 15,SUBMITTED,23-Feb-25,1-Mar-25,36
TC16,ASGN9,Timecard 16,SUBMITTED,12-Jan-25,18-Jan-25,12
TC17,ASGN9,Timecard 17,SUBMITTED,19-Jan-25,25-Jan-25,11
TC18,ASGN9,Timecard 18,SUBMITTED,26-Jan-25,1-Feb-25,28
TC19,ASGN11,Timecard 19,SUBMITTED,12-Jan-25,18-Jan-25,34
TC20,ASGN11,Timecard 20,SUBMITTED,19-Jan-25,25-Jan-25,21
TC21,ASGN11,Timecard 21,SUBMITTED,26-Jan-25,1-Feb-25,31
TC22,ASGN11,Timecard 22,SUBMITTED,2-Feb-25,8-Feb-25,17
TC23,ASGN11,Timecard 23,SUBMITTED,9-Feb-25,15-Feb-25,16
TC24,ASGN11,Timecard 24,SUBMITTED,16-Feb-25,22-Feb-25,35
TC25,ASGN11,Timecard 25,SUBMITTED,23-Feb-25,1-Mar-25,17
